date,open,high,low,close,volume,average,barCount
2022-12-08 20:48:00,147.66,147.69,147.51,147.61,1128.67,147.618,545
2022-12-08 20:48:30,147.63,147.77,147.6,147.69,696.88,147.666,404
2022-12-08 20:49:00,147.67,147.76,147.48,147.48,1076.35,147.621,522
2022-12-08 20:49:30,147.49,147.51,147.29,147.42,1134.81,147.419,807
2022-12-08 20:50:00,147.43,147.54,147.26,147.28,1065.39,147.381,594
2022-12-08 20:50:30,147.28,147.28,147.11,147.2,1309.95,147.196,656
2022-12-08 20:51:00,147.2,147.3,147.03,147.29,1377.86,147.18,915
2022-12-08 20:51:30,147.32,147.37,147.21,147.26,1312.04,147.301,665
2022-12-08 20:52:00,147.24,147.29,147.1,147.17,893.88,147.204,548
2022-12-08 20:52:30,147.18,147.25,147.05,147.17,789.53,147.148,472
2022-12-08 20:53:00,147.16,147.18,147.0,147.05,1076.15,147.079,595
2022-12-08 20:53:30,147.05,147.15,147.01,147.08,921.03,147.09,451
2022-12-08 20:54:00,147.07,147.11,147.02,147.04,604.82,147.062,340
2022-12-08 20:54:30,147.04,147.17,147.01,147.14,862.12,147.065,467
2022-12-08 20:55:00,147.14,147.15,146.94,147.0,3015.04,147.017,1028
2022-12-08 20:55:30,147.0,147.09,146.96,147.02,767.79,147.019,435
2022-12-08 20:56:00,147.02,147.25,147.0,147.09,1300.47,147.136,779
2022-12-08 20:56:30,147.08,147.08,146.88,146.9,1121.73,146.941,568
2022-12-08 20:57:00,146.9,146.94,146.78,146.84,1041.8,146.849,492
2022-12-08 20:57:30,146.84,146.95,146.82,146.86,652.74,146.884,325
2022-12-08 20:58:00,146.86,147.13,146.84,147.07,997.43,146.984,617
2022-12-08 20:58:30,147.06,147.08,146.95,146.98,736.79,147.015,313
2022-12-08 20:59:00,146.97,147.08,146.88,146.92,894.99,146.976,434
2022-12-08 20:59:30,146.92,147.06,146.86,146.91,796.87,146.947,513
2022-12-08 21:00:00,146.89,146.97,146.78,146.78,952.05,146.87,510
2022-12-08 21:00:30,146.8,146.85,146.74,146.82,1146.68,146.785,651
2022-12-08 21:01:00,146.82,146.99,146.7,146.94,1788.97,146.834,1092
2022-12-08 21:01:30,146.94,147.01,146.72,146.87,1409.91,146.858,952
2022-12-08 21:02:00,146.86,146.88,146.69,146.7,1022.87,146.746,541
2022-12-08 21:02:30,146.69,146.79,146.62,146.73,1000.87,146.681,590
2022-12-08 21:03:00,146.73,146.77,146.66,146.68,886.73,146.698,517
2022-12-08 21:03:30,146.67,146.81,146.64,146.71,843.01,146.696,503
2022-12-08 21:04:00,146.7,146.7,146.5,146.52,1600.13,146.585,711
2022-12-08 21:04:30,146.51,146.58,146.38,146.4,2333.86,146.476,1112
2022-12-08 21:05:00,146.39,146.41,146.18,146.18,2257.56,146.314,1155
2022-12-08 21:05:30,146.19,146.35,146.18,146.33,2147.68,146.235,1314
2022-12-08 21:06:00,146.33,146.49,146.3,146.46,1622.57,146.422,986
2022-12-08 21:06:30,146.47,146.67,146.45,146.58,2007.57,146.589,1090
2022-12-08 21:07:00,146.53,146.55,146.42,146.44,933.6,146.465,559
2022-12-08 21:07:30,146.44,146.46,146.2,146.27,2339.58,146.292,1341
2022-12-08 21:08:00,146.28,146.44,146.27,146.36,1260.83,146.354,654
2022-12-08 21:08:30,146.37,146.5,146.32,146.47,851.86,146.403,572
2022-12-08 21:09:00,146.46,146.69,146.42,146.65,1542.6,146.579,765
2022-12-08 21:09:30,146.64,146.71,146.59,146.61,987.89,146.639,518
2022-12-08 21:10:00,146.6,146.66,146.47,146.57,1423.06,146.549,603
2022-12-08 21:10:30,146.58,146.78,146.57,146.66,1637.64,146.691,937
2022-12-08 21:11:00,146.67,146.81,146.67,146.73,1150.63,146.738,696
2022-12-08 21:11:30,146.74,146.83,146.7,146.81,1163.77,146.772,630
2022-12-08 21:12:00,146.81,146.92,146.74,146.75,1322.24,146.828,728
2022-12-08 21:12:30,146.76,146.82,146.52,146.59,1397.41,146.664,835
2022-12-08 21:13:00,146.61,146.65,146.43,146.44,970.33,146.529,591
2022-12-08 21:13:30,146.43,146.48,146.32,146.36,2098.43,146.386,977
